Comandos cmd Utiles para Redes
------------------------------

Comando CMD	Descripción	Versión de Windows
rasautou	Gestiona direcciones AutoDialer.	10/8/7/Vista/XP
rasdial	  Inicia y finaliza conexiones de red para clientes de Microsoft.	10/8/7/Vista/XP
rcp	      Copia archivos de un ordenador Windows en un servidor en el que se está ejecutando un demonio RSDH y viceversa.	7/Vista/XP
rdpsign	  Firma un archivo de protocolo de escritorio remoto (Remote Desktop Protocol, RDP).	10/7
rexec	    Ejecuta comandos en un ordenador remoto en el que se está ejecutando un demonio rexec.	Vista/XP
route	    Muestra la tabla de enrutamiento y permite modificar (change), añadir (add) o eliminar (delete) entradas.	Cualquier Win
rpcinfo	  Envía una llamada a procedimiento remoto (Remote Procedure Call, RPC) a un servidor RPC. El resultado muestra los programas en el ordenador remoto (para poder utilizar el comando deben activarse los servicios de NFS en Windows).	7/Vista
rpcping	  Envía un ping vía llamada a procedimiento remoto (Remote Procedure Call, RPC) a un servidor y comprueba si es posible establecer así una conexión.	10/8/7/Vista
rsh	      Ejecuta comandos en ordenadores remotos en los que está funcionando el programa de Unix Remote Shell (RSH).	7/Vista/XP
setspn	  Crea, elimina y modifica SPN, que hace referencia a identificadores únicos para los servicios de una red que utiliza la autenticación de Kerberos.	10/8/7
shadow	  Supervisa la sesión en un ordenador remoto y con él el usuario puede controlar activamente dicho ordenador remoto.	7/Vista/XP
showmount	Proporciona información sobre sistemas de archivos NFS. Para utilizar el comando, deben activarse previamente los servicios NFS en Windows.	7/Vista
tcmsetup	Activa o desactiva un cliente para la Telephony Application Programming Interface (TAPI), una interfaz de programación para aplicaciones de telefonía.	10/8/7/Vista/XP
telnet	  Permite la comunicación con otro ordenador que también utilice el protocolo Telnet.	Cualquier Win/DOS
tftp	    Permite el intercambio de datos entre el ordenador local y un servidor que soporte el Trivial File Transfer Protocol (TFTP). Para poder utilizar el comando debe estar activado el cliente TFTP en las opciones del sistema.	10/8/7/Vista/XP
tlntadmn	Gestiona un servidor Telnet en un ordenador local o remoto. Para utilizar el comando deben activarse las funciones del servidor Telnet en las opciones del sistema.	8/7/Vista/XP
tracert	  Hace el seguimiento de un paquete de datos a través de la red hasta que llega a un servidor. No solo se comprueba si el paquete llega y el tiempo que necesita para ello, sino que también se registran los saltos que este hace por el camino. Todos los paquetes tienen un determinado tiempo de vida (Time To Live, TTL) que aumenta paso a paso a raíz del comando.	Cualquier Win
tscon	    Conecta la sesión actual del usuario local con una sesión en un ordenador remoto.	10/8/7/Vista/XP
tsdiscon	Finaliza la conexión entre una sesión de usuario local y la de un ordenador remoto.	10/8/7/VistaXP
tskill	  Termina un proceso en un ordenador remoto.	10/8/7/Vista/XP
tsshutdn	Apaga o reinicia un servidor de terminales remoto. Si el ordenador correspondiente lo permite, este puede apagarse completamente de esta manera.	XP
umount	  Elimina unidades de sistema de archivos de red (NFS) integradas. Para utilizar el comando deben activarse las funciones NFS en el panel de control del sistema.	7/Vista
w32tm	    Gestiona el servicio de hora de Windows con el que se sincronizan la fecha y la hora en todos los ordenadores bajo un dominio AD DS.	10/8/7/Vista/XP
waitfor	  Envía o espera a una señal. Si esta no se ha de enviar a todos los ordenadores de un dominio, sino a uno específico, se utiliza el parámetro /S. Este comando permite sincronizar los ordenadores de una misma red entre sí.	10/8/7/Vista
wecutil	  Crea y administra suscripciones para eventos, los cuales son reenviados por fuentes de eventos remotas que soportan el protocolo de gestión WS.	10/8/7/Vista
winrm	    Administra conexiones seguras entre ordenadores locales y remotos a través del protocolo de gestión WS.	10/8/7/Vista
winrs	    A través de una conexión segura permite acceder a las líneas de comandos de un ordenador remoto y realizar cambios. Para desactivar el cifrado debe recurrirse a –un.	10/8/7/Vista
wsmanhttpconfig	Gestiona las funciones del Windows Remote Management (winrm).	10/8/7/Vista
