Manejo de archivos a traves de CMD
----------------------------------

Comando   CMD	Descripción	Versión de Windows
move	    Desplaza uno o varios archivos de un directorio a otro y también puede modificar el nombre de los directorios. Por defecto, el comando sobrescribe otros archivos con el mismo nombre al mover archivos a su destino. Para evitarlo se utiliza el parámetro /-Y.	Cualquier Win/DOS
openfiles	Muestra y separa los archivos y las carpetas abiertos de un sistema.	10/8/7/Vista/XP
recover	  Restablece los archivos legibles que se encuentran en un soporte de datos.	10/8/7/Vista/XP
ren	      Modifica el nombre de un archivo específico, pero el directorio y la unidad no pueden modificarse. También puede utilizarse el comando rename.	Cualquier Win/DOS
rename	  Tiene la misma función que ren.	Cualquier Win/DOS
replace	  Reemplaza el archivo o los archivos seleccionados por uno o varios archivos. Con el parámetro /S también se sustituyen los archivos de las subcarpetas y con /U solo se reemplazan archivos si la otra versión es más actual. El parámetro /A permite que los usuarios inserten nuevos archivos simultáneamente en el directorio de destino. Este parámetro no es compatible con /S y /U.	Cualquier Win/DOS
robocopy	Posibilita la llamada copia de archivos robusta. Se trata de una versión ampliada de copy y xcopy, de modo que con robocopy pueden transferirse datos con éxito incluso cuando hay interrupciones en la red. En total existen 72 parámetros con los que puede personalizarse el comando de copia.	10/8/7/Vista
rsm	      Gestiona los medios en dispositivos extraíbles. Se utiliza en archivos batch y en scripts para dar soporte a programas que no utilizan la Removable Storage API.	Vista/XP
setlocal	Limita el ámbito de validez de los cambios en archivos batch o en scripts. Con el comando, los cambios solo se aplican a estos archivos. La localización se inicia con endlocal.	10/8/7/Vista/XP
share	    Instala file sharing y file locking.	32 bits/DOS
sxstrace	Inicia la WinSxs Tracing Utility, una herramienta de diagnósticos de programación.	10/8/7/Vista
takeown	  Recupera los derechos de acceso de los administradores a un archivo y que se han perdido al reasignar a un usuario.	10/8/7/Vista
undelete	Deshace la eliminación de un archivo.	DOS
verify	  Al activarse comprueba que los archivos se hayan escrito correctamente en un soporte de datos. Este ajuste está desactivado por defecto en la configuración.	Cualquier Win/DOS
where	    Encuentra archivos que se corresponden con un esquema de búsqueda específico dentro del que pueden emplearse los símbolos * y ?.	10/8/7/Vista
xcopy	    Copia archivos y estructuras de directorio completas, para lo que el comando ofrece numerosas opciones adicionales. Así puede especificarse, por ejemplo, que solo se copien archivos anteriores a una fecha determinada (/D) y, asimismo, que también se sobrescriban archivos protegidos contra escritura (/R).	Cualquier Win/DOS

